,player_id,birthDate,draft_year,name,position,college,salary,season_end,season_start,team,lat,long
38,bacondw01,30-Aug-95,2017.0,Dwayne Bacon,Shooting Guard,Florida State University,815615.0,2018.0,2017.0,Charlotte Hornets,30.4418778,-84.29848890000002
39,beaslma01,26-Nov-96,2016.0,Malik Beasley,Shooting Guard,Florida State University,1700640.0,2018.0,2017.0,Denver Nuggets,30.4418778,-84.29848890000002
40,isaacjo01,3-Oct-97,2017.0,Jonathan Isaac,Power Forward,Florida State University,4186320.0,2018.0,2017.0,Orlando Magic,30.4418778,-84.29848890000002
41,jamesbe01,7-Feb-85,2012.0,Bernard James,Center,Florida State University,236866.0,2015.0,2014.0,Dallas Mavericks,30.4418778,-84.29848890000002
42,reidry01,30-Oct-86,2010.0,Ryan Reid,Power Forward,Florida State University,475000.0,2012.0,2011.0,Oklahoma City Thunder,30.4418778,-84.29848890000002
43,singlch01,21-Nov-89,2011.0,Chris Singleton,Small Forward,Florida State University,1618680.0,2014.0,2013.0,Washington Wizards,30.4418778,-84.29848890000002
44,aldrico01,31-Oct-88,2010.0,Cole Aldrich,Center,University of Kansas,7300000.0,2018.0,2017.0,Minnesota Timberwolves,38.9543439,-95.25579609999998
45,diallch01,13-Sep-96,2016.0,Cheick Diallo,Power Forward,University of Kansas,1312611.0,2018.0,2017.0,New Orleans Pelicans,38.9543439,-95.25579609999998
46,embiijo01,16-Mar-94,2014.0,Joel Embiid,Center,University of Kansas,6100266.0,2018.0,2017.0,Philadelphia 76ers,38.9543439,-95.25579609999998
47,henryxa01,15-Mar-91,2010.0,Xavier Henry,Small Forward,University of Kansas,1082000.0,2015.0,2014.0,Los Angeles Lakers,38.9543439,-95.25579609999998
48,jacksjo02,10-Feb-97,2017.0,Josh Jackson,Small Forward,University of Kansas,5090040.0,2018.0,2017.0,Phoenix Suns,38.9543439,-95.25579609999998
49,masonfr01,3-Apr-94,2017.0,Frank Mason III,Point Guard,University of Kansas,1184385.0,2018.0,2017.0,Sacramento Kings,38.9543439,-95.25579609999998
50,mclembe01,11-Feb-93,2013.0,Ben McLemore,Shooting Guard,University of Kansas,5200000.0,2018.0,2017.0,Memphis Grizzlies,38.9543439,-95.25579609999998
51,morrima03,2-Sep-89,2011.0,Marcus Morris,Small Forward,University of Kansas,5000000.0,2018.0,2017.0,Boston Celtics,38.9543439,-95.25579609999998
52,morrima02,2-Sep-89,2011.0,Markieff Morris,Power Forward,University of Kansas,8000000.0,2018.0,2017.0,Washington Wizards,38.9543439,-95.25579609999998
53,oubreke01,9-Dec-95,2015.0,Kelly Oubre Jr.,Small Forward,University of Kansas,2093040.0,2018.0,2017.0,Washington Wizards,38.9543439,-95.25579609999998
54,robinth01,17-Mar-91,2012.0,Thomas Robinson,Power Forward,University of Kansas,1050961.0,2017.0,2016.0,Los Angeles Lakers,38.9543439,-95.25579609999998
55,selbyjo01,27-Mar-91,2011.0,Josh Selby,Point Guard,University of Kansas,762195.0,2013.0,2012.0,Cleveland Cavaliers,38.9543439,-95.25579609999998
56,tayloty01,12-Apr-90,2012.0,Tyshawn Taylor,Point Guard,University of Kansas,788872.0,2014.0,2013.0,Brooklyn Nets,38.9543439,-95.25579609999998
57,wiggian01,23-Feb-95,2014.0,Andrew Wiggins,Small Forward,University of Kansas,7574322.0,2018.0,2017.0,Minnesota Timberwolves,38.9543439,-95.25579609999998
58,witheje01,7-Mar-90,2013.0,Jeff Withey,Center,University of Kansas,1577320.0,2018.0,2017.0,Dallas Mavericks,38.9543439,-95.25579609999998
59,allenja01,21-Apr-98,2017.0,Jarrett Allen,Center,University of Texas at Austin,1713720.0,2018.0,2017.0,Brooklyn Nets,30.2849185,-97.7340567
60,bradlav01,26-Nov-90,2010.0,Avery Bradley,Point Guard,University of Texas at Austin,8808989.0,2018.0,2017.0,Los Angeles Clippers,30.2849185,-97.7340567
61,hamiljo02,6-Oct-90,2011.0,Jordan Hamilton,Small Forward,University of Texas at Austin,119462.0,2016.0,2015.0,New Orleans Pelicans,30.2849185,-97.7340567
62,jamesda01,7-Oct-87,2010.0,Damion James,Small Forward,University of Texas at Austin,50258.0,2013.0,2012.0,Brooklyn Nets,30.2849185,-97.7340567
63,josepco01,20-Aug-91,2011.0,Cory Joseph,Point Guard,University of Texas at Austin,7630000.0,2018.0,2017.0,Indiana Pacers,30.2849185,-97.7340567
64,pittmde01,2-Mar-88,2010.0,Dexter Pittman,Center,University of Texas at Austin,854389.0,2013.0,2012.0,Memphis Grizzlies,30.2849185,-97.7340567
65,thomptr01,13-Mar-91,2011.0,Tristan Thompson,Power Forward,University of Texas at Austin,16400000.0,2018.0,2017.0,Cleveland Cavaliers,30.2849185,-97.7340567
66,turnemy01,24-Mar-96,2015.0,Myles Turner,Center,University of Texas at Austin,2569920.0,2018.0,2017.0,Indiana Pacers,30.2849185,-97.7340567
67,allenla01,4-Feb-89,2011.0,Lavoy Allen,Power Forward,Temple University,4000000.0,2017.0,2016.0,Indiana Pacers,39.98059420000001,-75.1557376
68,aminual01,21-Sep-90,2010.0,Al-Farouq Aminu,Power Forward,Wake Forest University,7319035.0,2018.0,2017.0,Portland Trail Blazers,36.1355052,-80.2791958
69,collijo01,23-Sep-97,2017.0,John Collins,Power Forward,Wake Forest University,1936920.0,2018.0,2017.0,Atlanta Hawks,36.1355052,-80.2791958
70,anderja01,25-Mar-89,2010.0,James Anderson,Small Forward,Oklahoma State University,1015421.0,2016.0,2015.0,Sacramento Kings,36.1270236,-97.0737222
71,evansja01,26-Jul-96,2017.0,Jawun Evans,Point Guard,Oklahoma State University,815615.0,2018.0,2017.0,Los Angeles Clippers,36.1270236,-97.0737222
72,smartma01,6-Mar-94,2014.0,Marcus Smart,Shooting Guard,Oklahoma State University,4538020.0,2018.0,2017.0,Boston Celtics,36.1270236,-97.0737222
73,anderju01,19-Nov-93,2015.0,Justin Anderson,Small Forward,University of Virginia,1579440.0,2018.0,2017.0,Philadelphia 76ers,38.0335529,-78.5079772
74,brogdma01,11-Dec-92,2016.0,Malcolm Brogdon,Shooting Guard,University of Virginia,1312611.0,2018.0,2017.0,Milwaukee Bucks,38.0335529,-78.5079772
75,harrijo01,6-Sep-91,2014.0,Joe Harris,Shooting Guard,University of Virginia,1524305.0,2018.0,2017.0,Brooklyn Nets,38.0335529,-78.5079772
