player_id,birthDate,draft_year,name,position,college,salary,season_end,season_start,team,lat,long
adamsst01,20-Jul-93,2013.0,Steven Adams,Center,University of Pittsburgh,2090880.0,2014.0,2013.0,Oklahoma City Thunder,40.4443533,-79.960835
adamsst01,20-Jul-93,2013.0,Steven Adams,Center,University of Pittsburgh,2184960.0,2015.0,2014.0,Oklahoma City Thunder,40.4443533,-79.960835
adamsst01,20-Jul-93,2013.0,Steven Adams,Center,University of Pittsburgh,2279040.0,2016.0,2015.0,Oklahoma City Thunder,40.4443533,-79.960835
adamsst01,20-Jul-93,2013.0,Steven Adams,Center,University of Pittsburgh,3140517.0,2017.0,2016.0,Oklahoma City Thunder,40.4443533,-79.960835
adamsst01,20-Jul-93,2013.0,Steven Adams,Center,University of Pittsburgh,22471910.0,2018.0,2017.0,Oklahoma City Thunder,40.4443533,-79.960835
pattela01,12-Aug-91,2014.0,Lamar Patterson,Shooting Guard,University of Pittsburgh,525093.0,2016.0,2015.0,Atlanta Hawks,40.4443533,-79.960835
pattela01,12-Aug-91,2014.0,Lamar Patterson,Shooting Guard,University of Pittsburgh,128623.0,2017.0,2016.0,Atlanta Hawks,40.4443533,-79.960835
pattela01,12-Aug-91,2014.0,Lamar Patterson,Shooting Guard,University of Pittsburgh,100000.0,2017.0,2016.0,Sacramento Kings,40.4443533,-79.960835
adamsst01,20-Jul-93,2013.0,Steven Adams,Center,University of Pittsburgh,2090880.0,2014.0,2013.0,Oklahoma City Thunder,40.4443533,-79.960835
adamsst01,20-Jul-93,2013.0,Steven Adams,Center,University of Pittsburgh,2184960.0,2015.0,2014.0,Oklahoma City Thunder,40.4443533,-79.960835
adamsst01,20-Jul-93,2013.0,Steven Adams,Center,University of Pittsburgh,2279040.0,2016.0,2015.0,Oklahoma City Thunder,40.4443533,-79.960835
adamsst01,20-Jul-93,2013.0,Steven Adams,Center,University of Pittsburgh,3140517.0,2017.0,2016.0,Oklahoma City Thunder,40.4443533,-79.960835
adamsst01,20-Jul-93,2013.0,Steven Adams,Center,University of Pittsburgh,22471910.0,2018.0,2017.0,Oklahoma City Thunder,40.4443533,-79.960835
