,player_id,birthDate,draft_year,name,position,college,salary,season_end,season_start,team
9440,oquinky01,26-Mar-90,2012,Kyle O'Quinn,Center and Power Forward,Norfolk State University,3750000,2016,2015,New York Knicks
9441,oquinky01,26-Mar-90,2012,Kyle O'Quinn,Center and Power Forward,Norfolk State University,3900000,2017,2016,New York Knicks
9442,oquinky01,26-Mar-90,2012,Kyle O'Quinn,Center and Power Forward,Norfolk State University,4087500,2018,2017,New York Knicks
9494,ojelese01,5-Dec-94,2017,Semi Ojeleye,Power Forward,Southern Methodist University,1291892,2018,2017,Boston Celtics
9506,okafoja01,15-Dec-95,2015,Jahlil Okafor,Center,Duke University,4582680,2016,2015,Philadelphia 76ers
9507,okafoja01,15-Dec-95,2015,Jahlil Okafor,Center,Duke University,4788840,2017,2016,Philadelphia 76ers
9508,okafoja01,15-Dec-95,2015,Jahlil Okafor,Center,Duke University,4995120,2018,2017,Brooklyn Nets
9519,oladivi01,4-May-92,2013,Victor Oladipo,Shooting Guard and Point Guard,Indiana University,4763760,2014,2013,Orlando Magic
9520,oladivi01,4-May-92,2013,Victor Oladipo,Shooting Guard and Point Guard,Indiana University,4978200,2015,2014,Orlando Magic
9521,oladivi01,4-May-92,2013,Victor Oladipo,Shooting Guard and Point Guard,Indiana University,5192520,2016,2015,Orlando Magic
9522,oladivi01,4-May-92,2013,Victor Oladipo,Shooting Guard and Point Guard,Indiana University,6552960,2017,2016,Oklahoma City Thunder
9523,oladivi01,4-May-92,2013,Victor Oladipo,Shooting Guard and Point Guard,Indiana University,21000000,2018,2017,Indiana Pacers
9581,olynyke01,19-Apr-91,2013,Kelly Olynyk,Center and Power Forward,Gonzaga University,1986360,2014,2013,Boston Celtics
9582,olynyke01,19-Apr-91,2013,Kelly Olynyk,Center and Power Forward,Gonzaga University,2075760,2015,2014,Boston Celtics
9583,olynyke01,19-Apr-91,2013,Kelly Olynyk,Center and Power Forward,Gonzaga University,2165160,2016,2015,Boston Celtics
9584,olynyke01,19-Apr-91,2013,Kelly Olynyk,Center and Power Forward,Gonzaga University,3094014,2017,2016,Boston Celtics
9585,olynyke01,19-Apr-91,2013,Kelly Olynyk,Center and Power Forward,Gonzaga University,10607169,2018,2017,Miami Heat
9588,onuakch01,1-Nov-96,2016,Chinanu Onuaku,Center,University of Louisville,543471,2017,2016,Houston Rockets
9589,onuakch01,1-Nov-96,2016,Chinanu Onuaku,Center,University of Louisville,1312611,2018,2017,Houston Rockets
9594,ortonda01,6-Aug-90,2010,Daniel Orton,Center and Power Forward,University of Kentucky,1028400,2011,2010,Orlando Magic
9595,ortonda01,6-Aug-90,2010,Daniel Orton,Center and Power Forward,University of Kentucky,1105560,2012,2011,Orlando Magic
9596,ortonda01,6-Aug-90,2010,Daniel Orton,Center and Power Forward,University of Kentucky,757712,2013,2012,Oklahoma City Thunder
9610,oubreke01,9-Dec-95,2015,Kelly Oubre Jr.,Small Forward,University of Kansas,1920240,2016,2015,Washington Wizards
9611,oubreke01,9-Dec-95,2015,Kelly Oubre Jr.,Small Forward,University of Kansas,2006640,2017,2016,Washington Wizards
9612,oubreke01,9-Dec-95,2015,Kelly Oubre Jr.,Small Forward,University of Kansas,2093040,2018,2017,Washington Wizards
9767,parkeja01,15-Mar-95,2014,Jabari Parker,Power Forward,Duke University,4930560,2015,2014,Milwaukee Bucks
9768,parkeja01,15-Mar-95,2014,Jabari Parker,Power Forward,Duke University,5152440,2016,2015,Milwaukee Bucks
9769,parkeja01,15-Mar-95,2014,Jabari Parker,Power Forward,Duke University,5374320,2017,2016,Milwaukee Bucks
9770,parkeja01,15-Mar-95,2014,Jabari Parker,Power Forward,Duke University,6782392,2018,2017,Milwaukee Bucks
9803,parsoch01,25-Oct-88,2011,Chandler Parsons,Small Forward,University of Florida,850000,2012,2011,Houston Rockets
9804,parsoch01,25-Oct-88,2011,Chandler Parsons,Small Forward,University of Florida,888250,2013,2012,Houston Rockets
9805,parsoch01,25-Oct-88,2011,Chandler Parsons,Small Forward,University of Florida,926500,2014,2013,Houston Rockets
