,player_id,birthDate,draft_year,name,position,college,salary,season_end,season_start,team
11473,shumpim01,26-Jun-90,2011,Iman Shumpert,Shooting Guard and Point Guard,Georgia Institute of Technology,9700000,2017,2016,Cleveland Cavaliers
11474,shumpim01,26-Jun-90,2011,Iman Shumpert,Shooting Guard and Point Guard,Georgia Institute of Technology,10337079,2018,2017,Sacramento Kings
11478,siakapa01,2-Apr-94,2016,Pascal Siakam,Power Forward,New Mexico State University,1196040,2017,2016,Toronto Raptors
11479,siakapa01,2-Apr-94,2016,Pascal Siakam,Power Forward,New Mexico State University,1312611,2018,2017,Toronto Raptors
11497,simmobe01,20-Jul-96,2016,Ben Simmons,Point Guard,Louisiana State University,5903160,2017,2016,Philadelphia 76ers
11498,simmobe01,20-Jul-96,2016,Ben Simmons,Point Guard,Louisiana State University,6168840,2018,2017,Philadelphia 76ers
11539,singlky01,4-May-88,2011,Kyle Singler,Small Forward,Duke University,1000000,2013,2012,Detroit Pistons
11540,singlky01,4-May-88,2011,Kyle Singler,Small Forward,Duke University,1045000,2014,2013,Detroit Pistons
11541,singlky01,4-May-88,2011,Kyle Singler,Small Forward,Duke University,1090000,2015,2014,Oklahoma City Thunder
11542,singlky01,4-May-88,2011,Kyle Singler,Small Forward,Duke University,5000000,2016,2015,Oklahoma City Thunder
11543,singlky01,4-May-88,2011,Kyle Singler,Small Forward,Duke University,4837500,2017,2016,Oklahoma City Thunder
11544,singlky01,4-May-88,2011,Kyle Singler,Small Forward,Duke University,4666500,2018,2017,Oklahoma City Thunder
11546,singlch01,21-Nov-89,2011,Chris Singleton,Small Forward and Power Forward,Florida State University,1485000,2012,2011,Washington Wizards
11547,singlch01,21-Nov-89,2011,Chris Singleton,Small Forward and Power Forward,Florida State University,1596360,2013,2012,Washington Wizards
